label,capture_id,source_run_id,node_id,sample_index,timestamp_iso,dataset_split,dbfs,f_peak_acoustic_hz,low_rumble_ratio,band_bass_ratio,band_low_mid_ratio,band_mid_ratio,band_presence_ratio,band_high_ratio,band_bass_peak_hz,band_low_mid_peak_hz,band_mid_peak_hz,band_presence_peak_hz,band_high_peak_hz,dominant_band_ratio,dominant_band_peak_hz,fft_low_ratio,fft_mid_ratio,fft_high_ratio,fft_total_energy
low,capture_20260719201551,capture_20260719201551,node01,22,2026-07-19T20:16:20.304Z,training,-82.47,375,0.097428,0.089731,0.723831,0.149714,0.017294,0.01943,46.9,375,843.8,2437.5,5578.1,0.723831,375,0.102421,0.871838,0.02574,0.005338234
low,capture_20260719201551,capture_20260719201551,node03,22,2026-07-19T20:16:20.310Z,training,-87.21,421.9,0.559093,0.501572,0.17216,0.158292,0.080683,0.087293,46.9,421.9,609.4,3093.8,5015.6,0.501572,46.9,0.581988,0.28775,0.130262,0.001165664
low,capture_20260719201551,capture_20260719201551,node02,22,2026-07-19T20:16:20.313Z,training,-86.37,328.1,0.695282,0.674749,0.114431,0.089803,0.061243,0.059774,46.9,328.1,750,2390.6,7031.2,0.674749,46.9,0.702593,0.202349,0.095058,0.001924913
low,capture_20260719201551,capture_20260719201551,node04,23,2026-07-19T20:16:21.270Z,training,-86.54,234.4,0.693115,0.61038,0.163648,0.12759,0.041458,0.056925,46.9,187.5,562.5,3328.1,5156.2,0.61038,46.9,0.735685,0.185079,0.079235,0.002063019
low,capture_20260719201551,capture_20260719201551,node01,23,2026-07-19T20:16:21.295Z,training,-82.58,328.1,0.236916,0.201681,0.566723,0.174404,0.023321,0.033872,93.8,328.1,656.2,2343.8,8578.1,0.566723,328.1,0.238129,0.722286,0.039585,0.003323841
low,capture_20260719201551,capture_20260719201551,node02,23,2026-07-19T20:16:21.332Z,training,-87.06,468.8,0.500252,0.443936,0.112973,0.227318,0.105332,0.110442,93.8,468.8,703.1,2343.8,11062.5,0.443936,93.8,0.508711,0.325171,0.166119,0.0008718882
low,capture_20260719201551,capture_20260719201551,node03,23,2026-07-19T20:16:21.340Z,training,-85.49,562.5,0.441936,0.4129,0.103215,0.317529,0.084945,0.081411,46.9,234.4,562.5,3796.9,6515.6,0.4129,46.9,0.468129,0.40193,0.129941,0.001310946
low,capture_20260719201551,capture_20260719201551,node04,24,2026-07-19T20:16:22.260Z,training,-86.62,234.4,0.687749,0.618756,0.109073,0.140913,0.053196,0.078063,46.9,187.5,515.6,2437.5,5296.9,0.618756,46.9,0.712351,0.191239,0.09641,0.001483697
low,capture_20260719201551,capture_20260719201551,node01,24,2026-07-19T20:16:22.290Z,training,-83.29,796.9,0.345697,0.302521,0.174552,0.363403,0.067563,0.091961,46.9,468.8,796.9,2437.5,7781.2,0.363403,796.9,0.364603,0.519063,0.116334,0.001016786
low,capture_20260719201551,capture_20260719201551,node02,24,2026-07-19T20:16:22.298Z,training,-86.68,515.6,0.775706,0.687405,0.126289,0.107516,0.034756,0.044033,46.9,187.5,515.6,2765.6,11156.2,0.687405,46.9,0.789025,0.155863,0.055111,0.002584324
low,capture_20260719201551,capture_20260719201551,node03,24,2026-07-19T20:16:22.304Z,training,-86.65,468.8,0.480755,0.42977,0.247766,0.140137,0.091594,0.090733,93.8,468.8,1265.6,2906.2,6234.4,0.42977,93.8,0.514072,0.347241,0.138688,0.001208594
low,capture_20260719201551,capture_20260719201551,node04,25,2026-07-19T20:16:23.298Z,training,-86.41,234.4,0.462618,0.299161,0.297239,0.215346,0.093329,0.094925,46.9,187.5,703.1,2203.1,8343.8,0.299161,46.9,0.566515,0.291588,0.141897,0.001110742
low,capture_20260719201551,capture_20260719201551,node01,25,2026-07-19T20:16:23.312Z,training,-84.44,234.4,0.243342,0.187316,0.352878,0.276341,0.093346,0.09012,46.9,234.4,515.6,2203.1,5953.1,0.352878,234.4,0.338516,0.514521,0.146962,0.001034959
low,capture_20260719201551,capture_20260719201551,node02,25,2026-07-19T20:16:23.322Z,training,-87.06,328.1,0.324289,0.287829,0.303774,0.238372,0.073646,0.09638,46.9,328.1,1218.8,4828.1,6234.4,0.303774,328.1,0.333192,0.535547,0.131261,0.001118677
low,capture_20260719201551,capture_20260719201551,node03,25,2026-07-19T20:16:23.327Z,training,-86.83,375,0.629532,0.495219,0.257256,0.143934,0.048075,0.055516,46.9,187.5,703.1,3000,5062.5,0.495219,46.9,0.651526,0.272505,0.075969,0.001487685
low,capture_20260719201551,capture_20260719201551,node04,26,2026-07-19T20:16:24.265Z,training,-86.53,468.8,0.706933,0.680927,0.089458,0.118744,0.056932,0.05394,46.9,468.8,515.6,2671.9,10593.8,0.680927,46.9,0.715871,0.201771,0.082358,0.001814465
low,capture_20260719201551,capture_20260719201551,node03,26,2026-07-19T20:16:24.306Z,training,-87.2,234.4,0.343288,0.167873,0.358618,0.279237,0.095496,0.098776,46.9,187.5,515.6,2343.8,5156.2,0.358618,187.5,0.465131,0.376919,0.157949,0.0009968914
low,capture_20260719201551,capture_20260719201551,node02,26,2026-07-19T20:16:24.313Z,training,-87.04,421.9,0.662334,0.503098,0.264361,0.089916,0.063017,0.079607,46.9,187.5,562.5,2062.5,6843.8,0.503098,46.9,0.667016,0.223209,0.109775,0.001355485
